subject,run,ch,rail_frac,flat_frac,logvar_z,kurtosis,coupling_z,tags,is_bad
ap,1,40,0.0,0.002100675136768555,-4.087633636966357,4.414708405102042,0.5014268929319511,DEAD(z-4.1),True
ap,2,40,0.0,0.0021681064830854167,-3.5938417365862327,4.8061555791683155,0.17674754944900517,DEAD(z-3.6),True
ja,1,39,0.0,0.0024328197380552993,-0.06126908233996141,53.61175857315833,-0.4338190899082251,SPIKY(k54),True
ja,1,51,0.0,0.0028882791410702185,-0.29404652087395045,83.70259248658171,-0.5171678080048868,SPIKY(k84),True
ja,2,39,0.0,0.005294046132251683,-0.0017283072528366595,30.37074433143463,0.09853391386476633,SPIKY(k30),True
ja,2,51,0.0,0.006277699797743123,-0.37147851280958194,28.98511393765362,0.38299651709613936,SPIKY(k29),True
ja,3,39,0.0,0.004580463475044956,-0.427290555913965,45.302057891790206,-0.13397920862395796,SPIKY(k45),True
ja,3,51,0.0,0.005982876983453783,-0.6680445975814864,41.53741813400863,-0.05080608654799613,SPIKY(k42),True
